0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,66,0,0,7,9,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,80,0,0,4,12,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74,79,0,0,7,9,0
0,8,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,77,76,0,0,11,5,0
0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,81,72,0,0,15,1,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,91,0,0,8,8,0
0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,44,109,0,0,1,15,0
0,6,4,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,69,84,0,0,12,4,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110,43,0,0,16,0,0
0,0,1,0,0,2,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,64,89,0,0,16,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,104,0,0,10,6,0
0,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,84,69,0,0,4,12,0
0,0,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,36,117,0,0,16,0,0
0,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,86,67,0,0,3,13,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,75,0,0,13,3,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,92,0,0,0,16,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,97,0,0,14,2,0
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,92,61,0,0,12,4,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,55,98,0,0,4,12,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,87,0,0,7,9,0
0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,69,84,0,0,2,14,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,74,79,0,0,13,3,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,83,0,0,3,13,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,91,0,0,2,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,61,92,0,0,8,8,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81,72,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,69,0,0,16,0,0
0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,74,79,0,0,8,8,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,98,0,0,0,16,0
0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,62,91,0,0,2,14,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,80,0,0,3,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,103,0,0,4,12,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,74,0,0,16,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,71,0,0,15,1,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,94,0,0,12,3,0
0,6,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,66,87,0,0,16,0,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,103,0,0,4,12,0
0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,52,101,0,0,16,0,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,69,0,0,4,12,0
0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,68,85,0,0,2,14,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,77,76,0,0,16,0,0
0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,61,92,0,0,3,13,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,91,0,0,2,14,0
0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,81,0,0,3,13,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77,76,0,0,8,8,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,92,0,0,3,13,0
0,0,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,74,79,0,0,1,15,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,88,0,0,6,10,0
0,8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,55,98,0,0,9,7,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,96,0,0,14,2,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101,52,0,0,14,2,0
0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,61,92,0,0,13,3,0
0,5,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,153,0,0,0,16,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,96,0,0,10,6,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,81,72,0,0,12,4,0
0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,49,96,8,0,0,16,1
0,7,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,35,118,0,0,1,15,0
0,8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,51,102,0,0,16,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,89,0,0,0,16,0
0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,78,0,0,1,14,0
0,0,0,0,0,2,1,0,0,0,2,0,0,1,1,0,0,1,1,0,0,67,86,0,0,0,16,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,71,0,0,10,6,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,87,0,0,2,14,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,83,0,0,10,6,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,67,0,0,6,2,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,98,0,0,0,16,0
0,0,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,61,92,0,0,4,12,0
0,5,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,79,74,0,0,15,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,93,0,0,8,8,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,103,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,70,83,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58,95,0,0,2,14,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,53,100,0,0,1,14,0
0,3,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,69,84,0,0,15,1,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,84,0,0,10,6,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,80,0,0,3,13,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,100,0,0,16,0,0
0,1,2,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,72,81,0,0,6,10,0
0,3,1,0,0,1,1,0,0,0,2,0,0,1,1,0,0,1,1,0,0,66,87,0,0,4,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,78,0,0,15,1,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,109,0,0,6,9,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74,79,0,0,9,7,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,90,0,0,7,9,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,98,0,0,4,12,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96,57,0,0,10,6,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,109,0,0,5,11,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74,79,0,0,4,12,0
0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,64,89,0,0,13,2,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,81,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,99,0,0,1,14,0
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,63,90,0,0,3,13,0
0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,59,94,0,0,10,6,0
0,2,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,76,77,0,0,3,5,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,106,0,0,13,3,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,53,100,0,0,10,6,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,101,0,0,0,15,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,108,0,0,1,7,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,80,0,0,14,1,0
0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,83,70,0,0,0,9,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77,76,0,0,15,0,0
0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,60,74,19,0,4,5,1
0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,102,51,0,0,0,16,0
0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,77,76,0,0,2,14,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,71,0,0,16,0,0
0,10,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,42,111,0,0,0,16,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77,76,0,0,0,16,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,74,0,0,5,11,0
0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,64,89,0,0,14,1,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68,85,0,0,7,8,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83,70,0,0,7,9,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,54,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,91,0,0,2,14,0
0,0,5,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,82,71,0,0,16,0,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,89,0,0,0,16,0
0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,66,87,0,0,2,14,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67,86,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,59,94,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,141,0,0,16,0,0
0,0,2,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,57,96,0,0,2,14,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,94,0,0,12,4,0
0,7,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,72,81,0,0,9,7,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,97,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,74,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,136,17,0,0,4,12,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,100,0,0,2,14,0
0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,66,87,0,0,16,0,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,94,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,89,64,0,0,0,16,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,117,0,0,11,5,0
0,0,4,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,54,99,0,0,4,12,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,84,0,0,0,16,0
0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,62,91,0,0,9,7,0
0,0,2,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,74,79,0,0,6,10,0
0,1,4,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,71,82,0,0,16,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74,79,0,0,7,8,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,68,0,0,7,9,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,120,0,0,0,6,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,93,0,0,0,2,0
0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,144,0,0,0,16,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,89,0,0,16,0,0
0,3,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,153,0,0,0,16,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,75,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,96,0,0,12,4,0
0,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,71,82,0,0,11,5,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,94,0,0,10,6,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,80,0,0,14,2,0
0,0,6,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,42,111,0,0,0,16,0
0,5,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,76,77,0,0,13,3,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,102,0,0,16,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,15,138,0,0,3,13,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,94,59,0,0,16,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,91,0,0,5,11,0
0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85,68,0,0,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,104,0,0,0,16,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,90,0,0,6,10,0
0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,65,88,0,0,5,11,0
0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,59,94,0,0,10,6,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,92,0,0,0,16,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,69,0,0,14,2,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71,82,0,0,2,4,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,93,0,0,4,11,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,96,0,0,13,3,0
